Category,Brand,Product,Variant,SKU,Price,Old Price,Currency,Weight,Stock,Units,Visible,Featured,Meta title,Meta keywords,Meta description,Annotation,Description,Images,URL,Garancija,Sifra na artikl,Sifra,BrendID,KategorijaID,Kategorija
Компјутерски компоненти/Хард-дискови и SSD,Samsung,SAMSUNG 250GB SSD 980 M.2 Gen3.0x4 NVMe,,SE_51450,2729.0,0,1,,113,0,1,0,,,SAMSUNG 250GB SSD 980 M.2 Gen3.0x4 NVMe  P/N: MZ-V8V250BW,,<div class="tab-content" id="tab-description" itemprop="description">SAMSUNG 250GB SSD 980 M.2 Gen3.0x4 NVMe<br> P/N: MZ-V8V250BW </div>,51450_0-1000x1000.jpg,SAMSUNG-250GB-SSD-980-M.2-Gen3.0x4-NVMe, 720,SE_51450,SE_51450,55,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,Kingston 250GB M.2 PCIe NVMe SSD,,SE_48148,2739.0,0,1,,4,0,1,0,,,Kingston 250GB M.2 PCIe NVMe SSD  3D TLC NAND  Supports a full-security suite (TCG Opal 2.0  AES 256-bit  eDrive)  up to 3 200MB/s read  up to 2 200MB/s  write  SKC2000M8/250G,,<div class="tab-content" id="tab-description" itemprop="description">Kingston 250GB M.2 PCIe NVMe SSD<br> 3D TLC NAND<br> Supports a full-security suite (TCG Opal 2.0<br> AES 256-bit<br> eDrive)<br> up to 3<br>200MB/s read<br> up to 2<br>200MB/s<br> write<br> SKC2000M8/250G </div>,48148_0-1000x1000.jpg,Kingston-250GB-M.2-PCIe-NVMe-SSD, 720,SE_48148,SE_48148,34,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,ADATA LEGEND 800 1000GB PCIe Gen3 x4 M.2 2280 Solid State Drive,,SE_55843,2739.0,0,1,,108,0,1,0,,,ADATA LEGEND 800 1000GB PCIe Gen3 x4 M.2 2280 Solid State Drive  Sequential Read (Max) Up to 3 500MB/s*  Sequential Write (Max) Up to 2 800MB/s*  MTBF 1 500 000 hours  Terabytes Written (TBW) 1200TB**  ALEG-800-1000GCS,,<div class="tab-content" id="tab-description" itemprop="description">ADATA LEGEND 800 1000GB PCIe Gen3 x4 M.2 2280 Solid State Drive<br> Sequential Read (Max) Up to 3<br>500MB/s*<br> Sequential Write (Max) Up to 2<br>800MB/s*<br> MTBF 1<br>500<br>000 hours<br> Terabytes Written (TBW) 1200TB**<br> ALEG-800-1000GCS </div>,55843_0-1000x1000.jpg,ADATA-LEGEND-800-1000GB-PCIe-Gen3-x4-M.2-2280-Solid-State-Drive,1050,SE_55843,SE_55843,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,A-Data 512GB SSD,,SE_48349,2839.0,0,1,,10,0,1,0,,,A-Data 512GB SSD  XPG SX6000 Lite PCIe Gen3x4 M.2 2280 Solid State Drive  PCIe NVMe 1.3 interface  R/W speed up to 1800/1200MB/s  ASX6000LNP-512GT-C,,<div class="tab-content" id="tab-description" itemprop="description">A-Data 512GB SSD<br> XPG SX6000 Lite PCIe Gen3x4 M.2 2280 Solid State Drive<br> PCIe NVMe 1.3 interface<br> R/W speed up to 1800/1200MB/s<br> ASX6000LNP-512GT-C </div>,48349_0-1000x1000.jpg,A-Data-512GB-SSD,1740,SE_48349,SE_48349,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,A-Data 512GB SSD,,SE_52236,2939.0,0,1,,21,0,1,0,,,A-Data 512GB SSD  SU750 SATA 6Gb/s 2.5" Solid State Drive  High Endurance 400TB TBW  R/W speed up to 550/520MB/s  ASU750SS-512GT-C,,<div class="tab-content" id="tab-description" itemprop="description">A-Data 512GB SSD<br> SU750 SATA 6Gb/s 2.5" Solid State Drive<br> High Endurance 400TB TBW<br> R/W speed up to 550/520MB/s<br> ASU750SS-512GT-C </div>,52236_0-1000x1000.jpg,A-Data-512GB-SSD,1050,SE_52236,SE_52236,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,ADATA 1TB SSD,,SE_51405,2939.0,0,1,,108,0,1,0,,,ADATA 1TB SSD  S5  PCIe Gen3x4 M.2 2280 Solid State Drive  Up to 4 times faster than SATA : Read/write speeds of up to 2100/1500MB/s  AGAMMIXS5-1TT-C,,<div class="tab-content" id="tab-description" itemprop="description">ADATA 1TB SSD<br> S5<br> PCIe Gen3x4 M.2 2280 Solid State Drive<br> Up to 4 times faster than SATA : Read/write speeds of up to 2100/1500MB/s<br> AGAMMIXS5-1TT-C </div>,51405_0-1000x1000.jpg,ADATA-1TB-SSD,1740,SE_51405,SE_51405,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,ADATA 500GB SSD,,SE_50603,2939.0,0,1,,12,0,1,0,,,ADATA 500GB SSD  S20  RGB  PCIe Gen3x4 M.2 2280 SSD  Read speed (sequential): 2500 MB/s  Write speed (sequential): 1800 MB/s  ASPECTRIXS20G-500G-C,,<div class="tab-content" id="tab-description" itemprop="description">ADATA 500GB SSD<br> S20<br> RGB<br> PCIe Gen3x4 M.2 2280 SSD<br> Read speed (sequential): 2500 MB/s<br> Write speed (sequential): 1800 MB/s<br> ASPECTRIXS20G-500G-C </div>,50603_0-1000x1000.jpg,ADATA-500GB-SSD,1740,SE_50603,SE_50603,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,ADATA 960GB SSD,,SE_48357,2939.0,0,1,,111,0,1,0,,,ADATA 960GB SSD  SU630 SATA 6Gb/s 2.5" Solid State Drive  R/W speed up to 520/450MB/s  ASU630SS-960GQ-R,,<div class="tab-content" id="tab-description" itemprop="description">ADATA 960GB SSD<br> SU630 SATA 6Gb/s 2.5" Solid State Drive<br> R/W speed up to 520/450MB/s<br> ASU630SS-960GQ-R </div>,48357_0-1000x1000.jpg,ADATA-960GB-SSD,1050,SE_48357,SE_48357,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,WesternDigital,HDD 1TB WesternDigital,,SE_49882,3039.0,0,1,,6,0,1,0,,,HDD 1TB WesternDigital  I.P. rpm  64MB Cache SATA-3  6.0Gb/s  Purple Surveillance  WD10PURZ,,<div class="tab-content" id="tab-description" itemprop="description">HDD 1TB WesternDigital<br> I.P. rpm<br> 64MB Cache SATA-3<br> 6.0Gb/s<br> Purple Surveillance<br> WD10PURZ </div>,49882_0-1000x1000.jpg,HDD-1TB-WesternDigital, 690,SE_49882,SE_49882,66,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Samsung,SAMSUNG SSD 870 EVO SATA3 500GB,,SE_50444,3039.0,0,1,,110,0,1,0,,,SAMSUNG SSD 870 EVO SATA3 500GB  P/N: MZ-77E500B/EU,,<div class="tab-content" id="tab-description" itemprop="description">SAMSUNG SSD 870 EVO SATA3 500GB<br> P/N: MZ-77E500B/EU </div>,50444_0-1000x1000.jpg,SAMSUNG-SSD-870-EVO-SATA3-500GB, 720,SE_50444,SE_50444,55,kategorijaID,HardDisk
